car_number,date,hours
0219ET1,2024-10-21,0.0
0295MB,2024-10-21,0.0
0295MB1,2024-10-21,0.0
0342IM1,2024-10-21,0.0
1071AI1,2024-10-21,0.0
1506KT1,2024-10-21,0.0
2A,2024-10-21,0.0
3339MM1,2024-10-21,0.0
5093HA1,2024-10-21,3.09
5157AB1,2024-10-21,0.0
5904EX1,2024-10-21,0.0
6011ET1,2024-10-21,0.0
7583KX1,2024-10-21,1.21
7827IB1,2024-10-21,0.0
83KX1,2024-10-21,0.0
8531HB1,2024-10-21,0.0
8552EP1,2024-10-21,0.23
8700IA4,2024-10-21,0.0
8933HB1,2024-10-21,0.0
AE63211,2024-10-21,0.0
AH15741,2024-10-21,0.35
AH61251,2024-10-21,0.0
AH97511,2024-10-21,0.0
AK77211,2024-10-21,0.0
DNIEDER,2024-10-21,0.0
E135AB1,2024-10-21,0.0
LBI95781,2024-10-21,0.0
Z2805,2024-10-21,0.0
Z4L7XG,2024-10-21,0.0
0068IC1,2024-10-22,8.93
0219ET1,2024-10-22,0.02
0342IM1,2024-10-22,0.1
03690,2024-10-22,0.0
0748ET1,2024-10-22,0.18
107141,2024-10-22,0.0
1071AI1,2024-10-22,10.87
2180IC1,2024-10-22,0.0
4035ET1,2024-10-22,0.0
4702HB1,2024-10-22,0.42
5093HA,2024-10-22,0.0
5093HA1,2024-10-22,0.2
5H,2024-10-22,0.0
6011ET1,2024-10-22,6.34
6557MK1,2024-10-22,0.0
8531HB1,2024-10-22,0.0
8933HB1,2024-10-22,1.39
AE55041,2024-10-22,0.0
AH6125I,2024-10-22,0.0
AH76791,2024-10-22,0.14
AH92201,2024-10-22,0.01
AI03301,2024-10-22,0.0
AK77211,2024-10-22,0.0
AM16001,2024-10-22,0.0
F2180IC,2024-10-22,0.0
FAE55041,2024-10-22,3.51
FAI03301,2024-10-22,0.0
IA11IHI111,2024-10-22,0.0
ND8027A,2024-10-22,0.0
VI952,2024-10-22,0.0
WND8027A,2024-10-22,0.0
X317HC67,2024-10-22,0.2
0050MB1,2024-10-23,0.05
0068IC,2024-10-23,0.0
0068IC1,2024-10-23,4.33
0083BO1,2024-10-23,0.0
0138MX1,2024-10-23,3.72
0219ET,2024-10-23,0.0
0219ET1,2024-10-23,5.93
0228HB1,2024-10-23,0.0
0748ET1,2024-10-23,0.57
1071AI1,2024-10-23,7.71
2727IM1,2024-10-23,0.05
3670BT1,2024-10-23,0.0
3720ET1,2024-10-23,0.0
4702HB1,2024-10-23,0.23
6011ET1,2024-10-23,0.0
7583KX1,2024-10-23,1.81
76011ET1,2024-10-23,0.0
8613IC1,2024-10-23,0.06
8933HB1,2024-10-23,10.72
A120BC67,2024-10-23,0.46
AH87471,2024-10-23,0.0
AP60021,2024-10-23,1.9
E135AB1,2024-10-23,0.0
FE135AB,2024-10-23,0.0
FE135AB1,2024-10-23,0.0
GDA74009,2024-10-23,0.0
GDA76113,2024-10-23,0.0
GKII7,2024-10-23,0.0
LB2518A,2024-10-23,0.1
LLU1116A,2024-10-23,0.0
LLU50568,2024-10-23,0.0
LLU51566,2024-10-23,0.0
Q25EF,2024-10-23,0.0
WOS89522,2024-10-23,0.0
WWL61671,2024-10-23,4.56
